"plot_code"	"sub_plot"	"plot_corner"	"collar_number"	"replica"	"measurement_code"	"treatment_code_partitioning"	"disturbance_code_control"	"litter_code"	"year"	"month"	"day"	"hour"	"min"	"instr"	"chmb_type"	"d_chamber"	"smpl_date"	"raw_start_time"	"raw_end_time"	"Time"	"CH4ppb"	"total_vol_L"	"collar_area_m2"	"collar_hght_cm"	"air_temp_c"	"soil_temp_c"	"atmp_mb"	"atmp_Kpa"	"RawReads"	"Flux_name"	"Comments"
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:57	7365	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:58	7357	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:59	7352	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:00	7388	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:01	7397	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:02	7367	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:03	7555	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:04	8183	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:05	8565	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:06	8735	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:07	8973	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:08	10619	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:09	11922	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:10	12590	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:10:12	12773	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
